خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
نه بی‌دینیم و بی‌محراب نه گبر و نی مسلمانیم,на бединему бемеҳроб на габру не мусалмонем
و گه با دیدن رنجی که از ضحاک حاصل شد,ва гаҳ бо дидани ранҷе ки аз заҳҳок ҳосил шуд
به این اندیشه‌ام که ما چه موجودیم,ба ин андешаам ки мо чи мавҷудем
انسانیم,инсонем
تحمل کن وطن امروز هم فردا شود روزی,таҳаммул кун ватан имрӯз ҳам фардо шавад рӯзе
و روزی گویمت پروردۀ اعماق وجدانیم,ва рӯзе гӯямат парвардаи аъмоқи виҷдонем
نه این روزی که بر ما سخت چون تانکی گذر کرده,на ин рӯзе ки бар мо сахт чун тонке гузар карда
نه روز تلح دیگر‌را ثناگوئیم و خواهانیم,на рӯзи талхи дигарро саногӯему хоҳонем
یک روز سیاه دیگر از جنس کرونا,як рӯзи сиёҳи дигар аз ҷинси куруно
همین چند ساعت پیش یک دوست خوبم در فرخار تاجیکستان درگذشت,ҳамин чанд соъат пеш як дӯсти хубам аз фархор даргузашт
از افسران مرزبانی بود,аз афсарони марзбонӣ буд
همسرش مشکل کلیه داشت,ҳамсараш мушкили кулия гурда дошт
جویای حالش شدیم,ҷӯёи ҳолаш шудем
گفتند او پیشتر جان به جان‌آفرین سپرده؛ همین سه روز پیش,гуфтанд ӯ пештар ҷон ба ҷонофарин супурда ҳамин се рӯз пеш
هر دو حدود سال داشتند,ҳар ду ҳудуди сол доштанд
و همین امروز شنیدم که دیروز یک همسایه خوب و خوشنام‌مان در دوشنبه درگذشته است,ва ҳамин имрӯз шунидам ки дирӯз як ҳамсояи хубу хушномамон дар душанбе даргузаштааст
خانم بسیار مهربان و دوست‌داشتنی بود که از بچگی او‌را به یاد داشتم,хонуми бисёр меҳрубону дӯстдоштанӣ буд ки аз бачагӣ ӯро ба ёд доштам
پرستار محله بود,парастори маҳалла буд
سال داشت,сол дошт
پسرش در آمریکا هنوز به سنگینی مصیبتی که بر شانه‌هایش فرو غلطیده باور نمی‌کند,писараш дар омрико ҳанӯз ба сангинии мусибате ки бар шонаҳояш фурӯ ғалтида бовар намекунад
و بازگشتش به دوشنبه هم فائده‌ای ندارد,ва бозгашташ ба душанбе ҳам фоидае надорад
پیکر مادرش پیچیده در پلاستیک بی‌درنگ به محلی نامعلوم برده شد,пайкари модараш печида дар плостик бедиранг ба маҳалле номаълум бурда шуд
دو همسایه دیرینه‌سال دیگرمان در دوشنبه در یک ساختمان واحد بستری‌اند؛ با نشانگان شدید شوهر یکی از آنها که خود پزشک است حدود سه هفته پیش از کووید درگذشت,ду ҳамсояи деринасоли дигарамон дар душанбе дар як сохтмони воҳид бистарианд бо нишонгони шадиди шавҳари яке аз онҳо ки худ пизишк аст ҳудуди се ҳафта пеш аз кувид даргузашт
دخترشان در خُجند هم مبتلاست,духтарашон дар хуҷанд ҳам мубталост
امروز در شهرستان فَلغَر هم یکی از خویشاوندان دورمان به کام کووید رفت,имрӯз дар фалғар ҳам яке аз хешовандони дурамон ба коми кувид рафт
یعنی از میان یاران و آشنایان من در همین دو روز گذشته سه تن بر اثر ابتلا به جان داده‌اند,яъне аз миёни ёрону ошноёни ман дар ҳамин ду рӯзи гузашта се тан бар асари ибтило ба ҷон додаанд
از فیس‌بوک می‌شود خبر درگذشت نابهنگام ده‌ها تن دیگر ظرف دو روز گذشته‌را خواند,аз фейсбук мешавад хабари даргузашти нобаҳангоми даҳҳо тани дигар зарфи ду рӯзи гузаштаро хонд
اما آمار رسمی تاجیکستان همچنان می‌گوید در دو روز اخیر در سراسر کشور تنها یک تن بر اثر ابتلا به جان داده است,аммо омори расмии тоҷикистон ҳамчунон мегӯяд дар ду рӯзи ахир дар саросари кишвар танҳо тан бар асари ибтило ба ҷон додааст
