حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
تابوت این خدابیامرز روز پنجشنبه آذر دسامبر از فرودگاه مسکو به فرودگاه دوشنبه می‌رسد,тобути ин худобиёмурз рӯзи панҷшанбе озари десомбр декабр-и аз фурудгоҳи маскав ба фурудгоҳи душанбе мерасад
از تمامی وطنخواخان و ملتدوستانی که می‌توانند در دوشنبه باشند به پیشواز این جوانمرگ مظلوم برسند,аз тамомии ватанхоҳону миллатдӯстоне ки метавонанд дар душанбе бошанд ба пешвози ин ҷавонмарги мазлум бирасанд
ملت ما باید یکپارچگی‌را به جهانیان نشان دهد,миллати мо бояд якпорчагиро ба ҷаҳониён нишон диҳад
تا کی مثل غلام رفتار می‌نمییم,то кай мисли ғуломон рафтор менамоем
ملتی که از خود دفاع نمی‌کند تا کجا می‌رسد,миллате ки аз худ дифоъ намекунад то куҷо мерасад
یک غروری از خود نشان دهید شما هم ملتید آخر,як ғуруре аз худ нишон бидиҳед шумо ҳам миллатед охир
آذر دسامبر فرودگاه دوشنبه,озари десомбри фурудгоҳи душанбе
مسیر مسکو – دوشنبه,масири маскав - душанбе
طبق اطلاع بخش فارسی بی‌بی‌سی اخیراً شهراداری دوشنبه نیمپیکره‌های دو چهره سرشناس کمونیست‌را براداشته اند,тибқи иттилоъи бахши форсии бӣбӣсӣ ахиран шаҳрдории душанбе нимпайкараҳои ду чеҳраи саршиноси кумунистро бардоштаанд
این دو نفر یکی چِسلَو پوتوسکیی و دیگری فِلیکس دزِرژینسکیی از قاتلان اصلی آزادی‌خواهان و آزاد‌پرستان فرارود و دیگر سرزمین‌های شوروی بودند,ин ду нафар яке чеслав путувский чеслав путовский ва дигарӣ феликс дезержинский феликс дзержинский аз қотилони аслии озодихоҳону озодпарастони фароруд ва дигар сарзаминҳои фароруд буданд
فلیکس دزرژینسکیی مؤسس سازمان مخفی شوروی بود,феликс дезержинский муъассиси созмони махфии шӯравӣ буд
وی همچن پدر ترور سرخ در سرتاسر شوروی پیشین و بیرون از آن شهرت پیدا کرده,вай ҳамчун падари террури сурх дар сартосари шӯравии пешин ва берун аз шӯҳрат пайдо карда
چسلو پتوسکیی رئیس سازمان مخفی شوروی در قلمرو تاجیکستان بود و سال میلادی در یکی از زودوخوردهایی با گروه‌های ضد امپریولیست فرارود کشته شد,чеслав путувский раиси созмони махфии шӯравӣ дар қаламрави тоҷикистон буд ва соли мелодӣ дар яке аз задухӯрдҳое бо гурӯҳҳои зидди имперюлисти фароруд кушта шуд
نیمپیکره آقای دزرژینسکیی در روبروی ساختمان کمیته دولتی امنیت ملی جمهوری تاجیکستان قرار داشت و نیمپیکره آقای پوتوسکیی در خیابان اسماعیل سامانی که پیش از این نام خودش‌را داشت واقع گردیده بود,нимпайкараи оқои дезержинский дар рӯбарӯйи сохтмони кумитаи давлатии амнияти миллии ҷумҳурии тоҷикистон қарор дошт ва нимпайкараи оқои путувский дар хиёбони исмоили сомонӣ ки пеш аз ин номи худашро дошт воқеъ гардида буд
شادی شبدالف رییس حزب کمونیست تاجیکستان از این اقدام به تدریج خشمگین شده و از جمله گفته که به شرافت دوران شوروی بود که تاجیکستان به عنوان یک کشور مستقل در جهان شناخته شد,шодӣ шабдолуф раиси ҳизби кумунисти тоҷикистон аз ин иқдом ба тадриҷ хашмгин шуда ва аз ҷумла гуфта ки ба шарофати даврони шуравӣ буд ки тоҷикистон имрӯз ба унвони як кишвари мустақил дар ҷаҳон шинохта шуд
زیرا در سال خورشیدی مقامات وقت شوروی به تاجیکان امکان دادند که کشور کشور مستقل خودرا بنیاد کنند,зеро дар соли хуршедӣ мақомоти вақти шуравӣ ба тоҷикон имкон доданд ки кишвари мустақили худро бунёд кунанд
