Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Шумо аз сафҳаи тоҷикии торнамои порсии Бӣ-Бӣ-Сӣ низ ёдовар шудаед	شما از صفحه‌ی تاجیکی تارنمای پارسی بی‌بی‌سی نیز یادآور شده‌اید
Тасмим дар бораи лағви сафҳаи омехтаи порсӣсириллик ба он далел гирифта шуд ки он сафҳа корбаронро гич мекард ва таклифи равшане надошт	تصمیم در باره‌ی لغو صفحه‌ی آمیخته‌ی پارسیسیریلیک به آن دلیل گرفته شد که آن صفحه کاربران‌را گیچ می‌کرد و تکلیف روشنی نداشت
Аз ин рӯ тасмим гирифтем сафҳаи ҷудогонаи вижаеро ба хатти сириллик дошта бошем ки мухтасси корбарони тоҷик аст ва рӯйдодҳои муҳимми тоҷикиро ба хатти порсӣ ҳам барои корбарони эронӣ ва афғонамон дар сафҳаи нахусти торнамо мунташир мекунем	از این رو تصمیم کرفتیم صفحه‌ی جداگانه‌ی ویژه‌ای‌را به خط سیریلیک داشته باشیم که مختص کاربران تاجیک است و رویدادهای مهم تاجیکی‌را به خط پارسی هم برای کاربران ایرانی و افغانمان در صفحه‌ی نخست تارنما منتشر می‌کنیم
Вале нигаронии шумо дар бораи ҷойгоҳи поини сафҳаи сирилликро мадди назар дорем ва талош мекунем роҳи барҷастатар кардани сафҳаи сирилликро биёбем	ولی نگرانی شما در باره‌ی جایگاه پایین صفخه‌ی سیریلیک‌را در مد نظر داریم و تلاش می‌کنیم راه برجسته‌تر کردن صفحه‌ی سیریلیک‌را بیابیم
Ман мехоҳам бори дигар аз шумо ташаккур кунам ки нигарониҳои худро бо мо дар миён гузоштед ва аз ҳавохоҳии боҳароратон аз телевизюни порсӣ сипосгузорам	من می‌خواهم بار دیگر از شما تشکر کنم که نگرانی‌های خودرا با ما در میان گذاشتید و از هواخواهی باحرارتان از تلویزیون پارسی سپاسگذارم
Мо аз оғози кори шабакаи порсизабони телевизюнамон ба шиддат хурсанд ҳастем ва бовар дорем ки он дар паҳнаи расонаии ҷаҳони порсизабон ҷойгоҳи таъйинкунандае хоҳад дошт	ما از آغاز کار شبکه‌ی پارس‌زبان تلویزیونمان با شدت خرسند هستیم و باور داریم که ان در پهنه‌ی رسانه‌ای جهان پارسی‌زبانان جایگاه تعیین کننده‌ای خواهد داشت
Ин расона аз манобеъи байнулмилали азими Бӣ-Бӣ-Сӣ кор хоҳад гирифт то барои мухотабони порсигӯяш дар саросари ҷаҳон аз ҷумла дар Тоҷикистон барнома бисозад	این رسانه از منابع بین الملل عظیم بی‌بی‌سی کار خواهد گرفت تا برای مخاتبان پارسی‌گویش در سراسر جهان از جمله در تاجیکستان برنامه بسازد
Умедворам шумо фурсати тамошои ин барномаҳоро доштаед ва шоҳиди беҳтар шудани пушиши рӯйдодҳои Тоҷикистон аз оғози кори шабака то кунун шудаед	امیدوارم شما فرصت تماشای این برنامه‌هارا داشته‌اید و شاهد بهتر شدن پوشش رویدادهای تاجیکستان از آغاز کار شبکه تا کنون شده‌اید
Бо беҳтарин орзуҳо	با بهترین آرزوها
Нахуст мехостам аз дӯстони азиз пӯзиш бихоҳам ки бештар аз як моҳ ҳеч матлаби тозае нанавиштаам	نخست می‌خواستم از دوستان عزیز پوزش بخواهم که بیشتر از یک ماه هیچ مطلب تازه‌ای ننوشته‌ام
Дар ҳафтаҳои гузашта бисёре торнигорҳои Фароруд аз Телевизюни Форсии БӣБӣСӣ ба хотири набудани ному нишони Тоҷикистон дар он хеле интиқод намуданд	در هفته‌های گذشته بسیاری تارنگارهای فرارود از تلویزیون فارسی بی‌بی‌سی به خاطر نبودن نام و نشان تاجیکستان در آن خیلی انتقاد نمودند
Хеле аз ин дӯстон сипосгузорам	خیلی از این دوستان سپاسگذارم
Ҳузури Фароруд бояд дар ҳар маҳфиле ки барои порсигӯён роҳандозӣ шуда устувор бошад	حضور فرارود باید در هر محفلی که برای پارسی‌گویان راهندازی شده استوار باشد
БӣБӣСӣ каме авзоъро имрӯзҳо рӯйи телевизюн тағйир дода ва имрӯз вақти Душанбе баробари шаҳрҳои Кобулу Теҳрон гузошта шуда	بی‌بی‌سی کمی اوضاع‌را امروزها روی تلویزیون تغییر داده و امروز وقت دوشنبه برابر شهرهای کابل و تهران گذاشته شده
