Сити-оф-Кентерберӣ	سیتی کنتربری
Новоуралск	نووورالسک
Дюртюли	دیورتیولی
Красноуралск	کراسنولاسک
Полярний	پولیارنی
Калининск	کالینینسک،
Каргат	کارگات
Няган	نیاگان
Остров	اوستروف،
Тутаев	توتایف
Волск	وولسک
Ряжск	ریاژسک
Ивдел	ایفدل
Среднеколимск	اسردنکولیمسک
Салск	سالسک
Ковилкино	کوویلکینو
Миллерово	میلروفو
Нитва	نیتوا
Бакал	باکال
Рибное	ریبنویه
Ишимбай	ایشیمبای
Серовский	سروفسکی
Кондопога	کوندوپوگا
Любим	لیوبیم
Невянск	نوینسک
Кола	کولا
Инсар	اینسار
Мамадиш	مامادیش
Верхоянск	ورخویانسک
Куйбишев	کویبیشف،
Миняр	مینیار
Спас-Клепики	اسپاس-کلپیکی
Нюрба	نیوربا
Беломорск	بلومورسک
Азов	آزف
Котелнич	کوتلنیچ
Ялуторовск	یالوتوروفسک
Искитим	ایسکیتیم
Киштим	کیشتیم
Серов	سروف
Касли	کاسلی
Тоболск	توبولسک
Нолинск	نولینسک
Сатка	ساتکا
Туймази	تویمازی
Новосил	نوووسیل
Чердин	چردین،
Горно-Алтайск	گورنو-آلتایسک
Невел	نفل
Нарткала	نارتکالا
Хвалинск	خوالینسک
Черепаново	چرپانوفو
Татарск	تاتارسک
Губаха	گوباخا
Пудож	پودوژ
Мишкин	میشکین
Ухта	اوختا
Ядрин	یادرین
Северобайкалск	سوروبایکالسک
Еманжелинск	یمانژلینسک
Кимовск	کیموفسک
Кирово-Чепетск	کیروفو-چپتسک
Хилок	خیلوک
Сисерт	سیسرتسکی
Очёр	اوچیار
Уржум	اورژوم
Борзя	بورزیا
Дегтярск	دگتیارسک
Волжск	وولژسک
Ростов	روستوف
Трёхгорний	تریوخگورنی
Туринск	تورینسک
Аткарск	آتکارسک
Аксай	آکسای،
Вилюйск	ویلیویسک
Лянтор	لیانتور
Морозовск	موروزوفسک
Олонец	اولونتس
Сретенск	اسرتنسک
Касимов	کاسیموف
Воткинск	وتکینسک
Камишлов	کامیشلوف
Кунгур	کونگور
Новоузенск	نووزنسک
Рузаевка	روزایفکا
Певек	پویک
Сегежа	سگژا
Уплонд	اوپلاند
Ҳедмарк	هدمارک
Оуст-Огдер	اوست آدر
Вест-Огдер	وست آدر
Тромс	ترومز
Руголанд	روگالاند
Литторал	لیتورال
Фаро	فارو
минтақаи Порис	منطقه پاریس
Волгоград	ولگوگراد
политехникӣ	پلی‌تکنیک
Уусимаа	اوسیما
Конто-Ҳоме	تاواستیای
Сатакунта	ساتاکونتا
Готланд	گوتلاند
Иерусалим	اورشلیم
Авранш	اورانش
Авалон	اولون
Авинон	اوینیون
Авен-сюр-Элп	اون-سور-الپ
Родез	رودز
Абвилй	ابوویل
Ҷувайн	جوین
оик	ایک
Егошиха	یگوشیخا
мармара	مرمره
Уқёнуси шимолӣ	اقیانوس شمالی
Ҷумҳурии Мухтори Наҳҷувон	جمهوری خودمختار نخجوان
Дашти Қипчоқ	دشت قبچاق
Ҷумҳурии Шӯравии Сотсиалистии Пасиқафқоз	جمهوری سوسیالیستی قفقاز
Гурҷистон	سوسیالیستی گرجستان
Домон ва Диу	دامان و دیو
иқтисодии Евразия	اقتصادی اوراسیا
Сафавиён	صفوی
Тау	تای
Ноҳияи Дир	ناحیه دیر
Абидос	ابیدوس
Петухово	پتوخوفو
Каменка	کامنکا
Тсимлянск	تسیملیانسک
Плесетск	پلستسک
Котелниково	کوتلنیکوفو
Арамил	آرامیل
Листвянка	لیستویانکا
Октябрский	اوکتیابرسکی
Березник	برزنیک
Архара	آرخارا
Кулой	کولوی
Шиписино	شیپیتسینو
Коноша	کونوشا
Абузабӣ	ابوظبی
Пашми тиллоӣ	پشم زرین
Мақбараи Уршалим	مقبره اورشلیم
Мозамбик	موزامبیک
Стокҳолм	استکهلم
Пирамид Крик	پارامید کریک
Норин	نارن
Брайдал Вейл	بریدال ویل
Шенон	شانون
Реаргард	ریرگارد
Свеаборг	سیومنلینا
Свеаборг	سیومنلینا
Дания	دانمارک
Подшоҳии Фаронса	پادشاهی فرانسه
Подшоҳии Итолиё	پادشاهی ایتالیا
Подшоҳии Кабир ва Ирланд	پادشاهی کبیر و ایرلند
Ленстер	لینستر
Манстер	مونستر
Бутирки	بوتیرکی
Лопин	لوپین
Камнев	کامنف
Клочков	کلوچکوف
Токарев	توکارف
Корочин	کوروچین
Дубовий	دوبووی
Никонов	نیکونوف
Сазаний Угол	سازانی اوگول
Рогозин	روگوزین
Громов	گروموف
Блошной	بلوشنوی
Стасов	استاسوف
Кононенко	کونوننکو
Бундин	بوندین
Сокор	سوکور
Белиз	بلیز
Вадутс	فادوتس
Қарокӯл	کاراکول
Шарқи	شرقی
Баҳри Марҷон	دریای کورال
Балтика	بالتیک
Ҷопон	ژاپن
Сафед	سفید
Минё	منیا
Устони Суҳоҷ	استان سوهاج
Ғарбия	غربیه
Асвон	اسوان
Матруҳ	مطروح
Буҳайра	بحیره
Исмоилия	اسماعیلیه
Порт-Саид	پورت‌سعید
Қино	قنا
Шарқия	شرقیه
Минуфия	منوفیه
Асют	اسیوط
Искандария	اسکندریه
Файюм	فیوم
Банӣ-Сувайф	بنی‌سویف
Қоҳира	قاهره
Ақсар	اقصر
Устони Ҷиза	استان جیزه
Думёт	دمیاط
Қалюбия	قلیوبیه
Дақаҳлия	دقهلیه
Саксонӣ	ساکسونی
Весталкаҳо	وستال
Суҳравардия	سهروردیه
Туркманбошӣ	ترکمن باشی
Юнони Ғарбӣ	یونان غربی
Мақдунияи Марказӣ	مقدونیه مرکزی
Ремс-Мур	رمس-مور
Рейн-Эрфт	راين-ارفت-كرايس
Тулайтула	تولدو،
Фуэндетудус	فوئندتدس
Молого	مالاگا
Ғарнота	گرانادا
Алкала-де-Энарес	الکالا د هنارس
Валядолид	والادولید
Қуртуба	کوردوبا
Севиля	سبیا
Алмазан	آلماسان
Мерида	مریدا
Билбао	بیلبائو
Монзон	مونزان
Мурсия	مورسیا
Гуодикс	گوآدیکس
Галапагар	گالاپاگار
Алкобендас	الکوبنداز
Тюбу	چوبو
Пергамон	پرگامون
Ҷумҳурии Эстония	جمهوری استونی
Молдова	مولدووا
Каса Лома	کاسا لوما
Витебск	ویتبسک
Минск	مینسک
Могилёв	موگیلف
Брест	بریست
Гродно	گرودنو
Гомел	گومل
Донишгоҳи Ҳейделберг	دانشگاه هایدلبرگ
Донишгоҳи Ирон	دانشگاه ایران
Донишгоҳи Калифорния Лос-Анҷелес	دانشگاه کالیفرنیا، لس‌آنجلس
Гасконӣ	گسکونی
Перник	پرنیک
Монтана	مونتانا
Вратса	وراتسا
Силистра	سیلیسترا
Ловеч	لووچ
Шумен	شومن
Хасково	هاسکوو
Габрово	گابرووو
Русе	روسه
Тарговиште	ترگوویشته
Бургас	بورگاس
Благоевград	بلاگووگراد
Велико Турново	ولیکو ترنوو
София	صوفیه
Разград	رازگراد
Сливен	اسلیون
Видин	ویدین
Пазарджик	پازارجیک
Смолян	اسمولیان
Стара Загора	استارا زاگورا
София	صوفیه
Варна	وارنا
Пловдив	پلوودیو
Ямбол	یامبول
Кюстендил	کیوستندیل
Добрич	دوبریچ
Плевен	پلون
Монессен	مانسن،
Рединг	ریدینگ،
Саров	ساروف
Баркинг ва Дагенем	بارکینگ و دگنهام
Тауэр Ҳамлетс	تاور هملتس
Редбриҷ	ردبریج
Барнет	بارنت
Мертон	مرتون
Ҳарроу	هارو
Бексли	بکسلی
Ҳарринги	هرینگی
Кройдон	کرویدون
Вестминстер	وست‌مینستر
Илинг	ایلینگ
Ҳоунслоу	هانزلو
Луишем	لویشام
Ричмонд Темза	ریچموند تیمز
Нюҳем	نیوهام
салтанатии Гринвич	سلطنتی گرینویچ
Кенсингтон ва Челси	کنزینگتون و چلسی
Уондзварт	واندزوورث
Ҳиллингдон	هیلینگدون
Брент	برنت
Кэмден	کمدن
Уолтҳем Форест	والتهام فورست
Энфилд	انفیلد
Саутуорк	ساوت‌وارک
Бромли	بروملی
Ҳакний	هکنی
Кингстон Темза	کینگستون تیمز
ва Фулҳам	و فولام
Хаверинг	هیورینگ
Ислингтон	ایزلینگتون
Лонг лик	لانگ لیک
Дижи Вавел	دژ واول
Пойгоҳи ҳавоӣ зутондл	پایگاه هوایی زوتاندل
Милтун	میلتون،
Кундинамарка	کوندینامارکا
ноҳияи Кентерберӣ	ناحیه کانتربوری
Мошчёная	موشچنا
Финланд	فنلاند
Финланд	فنلاند
Финланд	فنلاند
Благовешенский	بلاگوفشچنسکی،
Белгород	بلگورودسکی
Тамбовский	تامبوفسکی،
Каргополский	کارگوپولسکی
Серишевский	سریشفسکی
Селемджинский	سلمدژینسکی
Виноградовский	وینوگرادوفسکی
Завитинский	زافیتینسکی
Камишловский	کامیشلوفسکی
Октябрский	اوکتیابرسکی،
Архаринский	آرخارینسکی
Красноборский	کراسنوبورسکی
Свободненский	سووبودننسکی
Верхнетоемский	ورخنتویمسکی
Оқтониш	آکتانیشسکی
Велский	ولسکی
Михайловский	میخایلوفسکی،
Сковородинский	سکووردینسکی
Ивановский	ایوانوفسکی،
Няндомск	نیاندومسکی
Байкаловский	بایکالوفسکی
Онежск	اونژسکی
Зейский	زیسکی
Мазановский	مازانوفسکی
Лешуконск	لشوکونسکی
Пригородний	پریگورودنی،
Ромненский	رومنسکی
Белогорский	بلوگورسکی
Бурейский	بوریسکی
Шалинский	شالینسکی
Мезенск	مزنسکی
Коношский	کونوشسکی
Печенга	پچنگسکی
Петров	پتروفسکی
Константиновский	کنستانتینوفسکی،
Слободо-Туринский	اسلوبودو-تورینسکی
Котлаский	کوتلاسکی
Вилегодский	ویلگودسکی
Тиндинский	تیندینسکی
Шимановский	شیمانوفسکی
Ленск	لنسکی،
Магдагачинский	ماگداگاچینسکی
Ҳиндустон	هند
Ҳиндустон	هند
Покистон	پاکستان
Сакаиминато	ساکای‌میناتو
Чоши	چوشی،
Шимода	شیمودا،
Ҷурҷу	جورجی
Кесеннума	کسن‌نوما،
Татеяма	تاتیاما،
Омаезаки	اومائه‌زاکی
Тулча	تولچه
Меҷидия	مدجیجا
Вааса	واسا
Оршова	اورشووا
Дробета-Турну-Северин	دروبتا-تورنو سورین
Кэлэраши	کلرش
Калафат	کلفه
Олтенитса	اولتنیتسا
Кёнигсберг	کونیگزبرگ
