Диего Веласкес	دیه‌گو ولاسکز
Энди Сэвилл	اندی ساویل
Артур Чедвик	آرتور چدویک
Алан Николлс	آلن نیکولز
Алберт Клоф	آلبرت کلوگ
Алберт Эмптейҷ	آلبرت امفیتینگ
Алфред Никол	آلفرد نیکول
Энди Кофлин	اندی کوکلین
Купер	کوپر
Ваҳиди Дастгирдӣ	وحید دستگردی
Карлос Ферейра Де Коза	کارلوس فریرا دی سوسا
Чарли Гриффин	چارلی گریفین
Александр Смирнов	الکساندر اسمیرنوف
Сантяго Верхини	سانتیاگو ورجینی
Лейлтон	لیلتون
Боб Карри	باب کوری
Бобби Барнс	بابی بارنز
Брайан Фрер	برایان فری
Хорди Гонсалво	جوردی گنزالو
Дуайт Гейл	دوایت گیل
Ли Блэкбэрн	لی بلکبرن
Лес Хенли	لس هنلی
Лиам Дейш	لیام دایش
Андерсон Родригес	آندرسون رودریگز
Артур Брэдфорд	آرتور بردفورد
Асад Гулзодаи Бухороӣ	اسد گلزاده بخارایی
Клеменс	کلمنس
Антон Отулакоуски	آنتون اوتولاکوفسکی
Арден Маддисон	آردن مدیسون
Дэвис	دیویس
Дерек Сондерс	درک ساندرز
Кристиан Браво	کریستین براوو
Ҷош Гоулинг	جاش گویل
Начо	ناچو
Хуан Форкетти	خوان فورچتی
Фентон	فنتون
Брей	بری
Ферейра	فریرا
Себастян Алабанда	سباستین الاباندا
Карл Пирҷианни	کارل پیرجیانی
Алан Агуирре	آلن آگویر
Саломон	سالومون
Фергус Хант	فرگوس هانت
Делф	دلف
Басил Акрс	باسیل اکرز
Хорди Шуметра	یوردی زومترا
Даниэл Монлор	دنیل مونلور
Серверо	سرورو
Косме	کسیمه
Даниэл Алберто Кафер	دنیل آلبرتو چافر
Крэддок	کرادوک
Эдиню	ادون
Бен Ҷонс	بن جونز
Рустами	رستم
Билл Бут	بیل بوث
Грин	گرین
Бернард Шэв	برنارد شاو
Виктори	ویکتوری
Ҷо Фрейл	جو فلاین
Крис Томпсон	کریس تامپسون
Клаудио Акино	کلودیو آکوینو
Лукас Акинс	لوکاس اکین
Гонсалвес	گونزالوس
Малколм Баррасс	مالکوم باراس
Абӯ Огого	ابو اوگوو
Мигел Борха	میگل بورخا
Абдулҳусайни Зарринкӯб	عبدالحسین زرین‌کوب
Рикардо	ریکاردو
Фрэнк Бартон	فرانک بارتون
Фрэд Доналдсон	فرد دونالدسون
Деннис Эванс	دنیس ایوانز
Дон Клегг	دان کلگ
Брендон Томас	براندون توماس
Брайан Гейл	برایان گیل
Жоннес	جونس
Матиас Бритос	ماتیاس بریتوس
Палниери	پالمیری
Эрнандес	ارناندس
Нелсон Агреста	نلسون آگرستا
Денни О'доннелл	دنی اودونل
Клементс	کلمنتس
Дэн Гарднер	دن گاردنر
Бейли	بیلی
Марк Картврайт	مارک کارترایت
Марк Ли	مارک لی
Мартин Брэдли	مارتین بردلی
Мэтт Уикс	مت ویکس
Вебстер	وبستر
Марк Грю	مارک گرو
Адриан Рендал	آدریان رندال
Алан Бирченол	آلن بیرچنال
Алберт Хатчинсон	آلبرت هاچینسون
Алф Андервуд	الف آندروود
Шералӣ Ҷӯраев	شیرعلی جورایف
Ли Мартин	لی مارتین
Леон Дрисдейл	لئون دریسدیل
Аккерли	اکرلی
Грэм Бранч	گراهام برنچ
Карл Асаба	کارل آسابا
Чарли Ҷоуитт	چارلی جاویت
Гари Стэнли	گری استانلی
Гари Уилямс	گری ویلیامز
Франсиско Манйус	فرانسیسکو مانوز
Ҷимми Ҷонс	جیمی جونز
Ян Вон	ایان وان
Арам Айрапетян	آرام هایراپتیان
Ли Барретт	لی بارت
Роденак	رودناک
Эрдал Бешикчиоғлу	اردال بشیکچی‌اوغلو
Дэвид Касс	دیوید کاس
Дэвид Грегори	دیوید گریگوری
Дик Дакуорт	دیک دوکوورث
Диего Корпаке	دیگو کورپاچه
Маркус Коза	مارکوس سوسا
Артур Бэкон	آرتور بیکن
Эшли Хоскин	اشلی هاسکین
Чарли Буртеншав	چارلی برتنشاو
Колин Грегсон	کالین گرگسون
Кирил	سیریل
Сезар Таборда	سزار تابوردا
Дейл Тонг	دیل تونگ
Даниэл Мигелес	دنی میگوئلز
Дэйв Томас	دیو توماس
Дэвид Бехарол	دیوید بهارال
Эрни Эдвардс	ارنی ادواردز
Натан Бирн	ناتان برن
Эдгардо Диас	ادگاردو دیاز
Эдуардо Куэлю Лакерда	ادواردو کوئلیو لاکردا
Баркер	بارکر
Бен Люис	بن لوئیس
Берт Бадгер	برد بجر
Берт Хойл	برت هویل
Берт Скривен	برت اسکریون
Блейк	بلیک
Хорхе Айэло	خورخه ایلو
Мигел Нунйес	میگل نونز
Кеко	ککو
Григг	گریگ
Лилли	لیلی
Картер	کارتر
Гилберт Глидден	گیلبرت گلیدن
Бен Мортон	بن مورتون
Кристиан Гарсия	کریستیان گارسیا
Дэйв Гилберт	دیو گیلبرت
Дэвид Фретвелл	دیوید فرتول
Фрэнк Бартон	فرانک بارتون
Уилямсон Барнс	ویلیامسون بارنز
Ҷофф	جف گای
Баркер	بارکر
Сезар Перейра	سزار پریرا
Дани Санчес	دانی سانچز
Фрэд Блэкбэрн	فرد بلکبرن
Д'анхело	دی‌انجلو
Куэста	کوستا
Фазлуллоҳ	فضل
Маркос Гондра	مارکوس گوندرا
Билл Додг	بیل دوج
Макнотон	مک ناتون
Мун	مون
Иняки Гойкоечеа	اینیاکی گویکوتکسا
Буркетт	برکت
Ҷек Харроу	جک هارو
Дэвид Фрит	دیوید فریت
Малик Мансур Мирзо Шуъоуссалтана	ملک منصور میرزا شعاع‌السلطنه
Агиар Куартероле	آگوئیار کارترول
Марк Бреннан	مارک برنان
Дик Эдвардс	دیک ادواردز
Дон Беннетт	دون بنت
Берри	بری
Луна Эслава	لونا اساوا
Белл	بل
Друри	دوری
Дин Беннетт	دین بنت
Ли Колкин	لی کولکین
Поршеноздод	پارشنازداد
Карли Де Мурга	کارلی د مورگا
Такон	تاکون
Фрэд Белфилд	فرد بلفیلد
Баиа	بایا
Гари Боус	گری بووز
Кевин Дринкелл	کوین درینکل
Алберт Холмс	آلبرت هلمز
Аллан Боттрайлл	آلن بوتریل
Андрес Имперяле	آندرس امپریال
Гэннон	گانون
Бэртли	بارتلی
Микел Арсе	میکل ارسه
Ник Ҳаммонд	نیک هاموند
Норман Кристи	نورمن کریستی
Эрик Парсонс	اریک پارسون
Соуза Дус Сантос	سوزا دوس سانتوس
Дуглас Силва	داگلاس سیلوا
Элизеу Де Батиста	الیزو دی باتیستا
Меҳрони	مهران
Антонио Видал	انتونی ویدال
Чарлз Монсалво	چارلز مونسالو
Пол Бейкер	پل بیکر
Бруш	براش
Паулиню Кобаяси	پائولینیو کوبایاشی
Грин	گرین
Чарли Бриттен	چارلی بریتانیا
Эралдо	ارالدو
Пэрсон	پیرسون
Хуан Батала	خوان باتارالا
Алсфорд	آلسفورد
Жилбер Лазар	ژیلبر لازار
Кук	کوک
Флауэрс	فلاورز
Луис Алберто Боннет	لوئیس البرتو بونه
Силва	سیلوا
Ли Арчер	لی آرچر
Нюман	نیومن
Анстисс	آنستیس
Клифф Карр	کلیف کار
Колин Грейнгер	کالین گرینجر
Хуан Нарваэс	خوانجو ناروائز
Крейг Бентхэм	کریگ بنتام
Силкман	سیلکمن
Хавйер Торрес Гомес	خاویر تورس گومز
Эден	ایدن
Питер Фрейн	پیتر فرین
Карл Бродхэрст	کارل برودهرست
Виллис	ویلیس
Таррес	تارس
Майк Пеҷик	مایک پییک
Алкок	الکاک
Даррен Канн	دارن کان
Дэвид Бридҷс	دیوید بریجز
Ҳузайма бинти Носир	حزیمه بنت ناصر
Дали	دیلی
Голимор	گالیمور
Боб Биркетт	باب بیرکت
Алан Росс	آلن راس
Алберт Фэрклоф	آلبرت فرکلاف
Эредия	هردیا
Алекс Колорадо	الکس کلرادو
Алекс Элй	الکس الی
Алексндре Файоли	آلکساندر فایولی
Андерсон Дус Сантос	آندرسون دوس سانتوس
Гилем Бауса	گیلم بوژا
Лукас Трехо	لوکاس ترخو
Кроссли	کراسلی
Арлиндо	ارلیندو
Эдмар Да Силва	ادمار دا سیلوا
Мик Бакстэр	میک باکستر
Майк Флинн	مایک فلین
Милтон Грэм	میلتون گراهام
Бэддели	بدلی
Диего Кокас	دیگو کوچاس
Иван Морено	ایوان مورنو
Брукс	بروکس
Томеу Надал	تومونادال
Дабирсиёқӣ	دبیرسیاقی
Ян Эндрюс	ایان اندروز
Ралф Гатри	رالف گوتری
Роберт Баркер	رابرت بارکر
